close,gold,silver
1792,19.39,1.28
1793,19.39,1.29
1794,19.39,1.26
1795,19.39,1.25
1796,19.39,1.24
1797,19.39,1.26
1798,19.39,1.24
1799,19.39,1.23
1800,19.39,1.24
1801,19.39,1.25
1802,19.39,1.27
1803,19.39,1.26
1804,19.39,1.26
1805,19.39,1.23
1806,19.39,1.25
1807,19.39,1.26
1808,19.39,1.21
1809,19.39,1.21
1810,19.39,1.23
1811,19.39,1.25
1812,19.39,1.20
1813,19.39,1.19
1814,21.79,1.34
1815,22.16,1.42
1816,19.84,1.37
1817,19.39,1.29
1818,19.39,1.26
1819,19.39,1.26
1820,19.39,1.24
1821,19.39,1.22
1822,19.39,1.23
1823,19.39,1.22
1824,19.39,1.23
1825,19.39,1.24
1826,19.39,1.23
1827,19.39,1.23
1828,19.39,1.23
1829,19.39,1.23
1830,19.39,1.23
1831,19.39,1.23
1832,19.39,1.23
1833,19.39,1.22
1834,20.69,1.27
1835,20.69,1.31
1836,20.69,1.32
1837,21.6,1.37
1838,20.73,1.32
1839,20.73,1.32
1840,20.73,1.32
1841,20.67,1.32
1842,20.69,1.30
1843,20.67,1.30
1844,20.67,1.30
1845,20.67,1.30
1846,20.67,1.30
1847,20.67,1.31
1848,20.67,1.30
1849,20.67,1.31
1850,20.67,1.32
1851,20.67,1.34
1852,20.67,1.33
1853,20.67,1.35
1854,20.67,1.35
1855,20.67,1.34
1856,20.67,1.34
1857,20.71,1.36
1858,20.67,1.34
1859,20.67,1.36
1860,20.67,1.35
1861,20.67,1.33
1862,27.35,1.53
1863,31.23,1.95
1864,47.02,2.73
1865,30.22,2.11
1866,28.26,1.89
1867,27.86,1.83
1868,27.95,1.85
1869,25.11,1.76
1870,22.88,1.53
1871,22.59,1.48
1872,23.19,1.49
1873,22.74,1.48
1874,23.09,1.42
1875,23.54,1.43
1876,22.3,1.30
1877,21.25,1.26
1878,20.69,1.16
1879,20.67,1.12
1880,20.67,1.15
1881,20.67,1.13
1882,20.67,1.14
1883,20.67,1.11
1884,20.67,1.11
1885,20.67,1.06
1886,20.67,0.99
1887,20.67,0.98
1888,20.67,0.94
1889,20.67,0.94
1890,20.67,1.05
1891,20.67,0.99
1892,20.67,0.87
1893,20.67,0.78
1894,20.67,0.63
1895,20.67,0.65
1896,20.67,0.68
1897,20.67,0.60
1898,20.67,0.59
1899,20.67,0.60
1900,20.67,0.62
1901,20.67,0.60
1902,20.67,0.53
1903,20.67,0.54
1904,20.67,0.58
1905,20.67,0.61
1906,20.67,0.68
1907,20.67,0.66
1908,20.67,0.53
1909,20.67,0.52
1910,20.67,0.54
1911,20.67,0.54
1912,20.67,0.61
1913,20.67,0.60
1914,20.67,0.55
1915,20.67,0.51
1916,20.67,0.67
1917,20.67,0.84
1918,20.67,0.98
1919,20.67,1.12
1920,20.67,1.02
1921,20.67,0.63
1922,20.67,0.68
1923,20.67,0.65
1924,20.67,0.67
1925,20.67,0.69
1926,20.67,0.62
1927,20.67,0.57
1928,20.67,0.58
1929,20.67,0.53
1930,20.67,0.38
1931,20.67,0.29
1932,20.67,0.28
1933,32.32,0.35
1934,35,0.48
1935,35,0.65
1936,35,0.45
1937,35,0.45
1938,35,0.44
1939,35,0.39
1940,34.5,0.35
1941,35.5,0.35
1942,35.5,0.39
1943,36.5,0.45
1944,36.25,0.45
1945,37.25,0.52
1946,38.25,0.80
1947,43,0.72
1948,42,0.74
1949,40.5,0.72
1950,40.25,0.74
1951,40,0.89
1952,38.7,0.85
1953,35.5,0.85
1954,35.25,0.85
1955,35.15,0.89
1956,35.2,0.91
1957,35.25,0.91
1958,35.25,0.89
1959,35.25,0.91
1960,36.5,0.91
1961,35.5,0.93
1962,35.35,1.09
1963,35.25,1.28
1964,35.35,1.29
1965,35.5,1.29
1966,35.4,1.29
1967,35.5,1.55
1968,43.5,2.19
1969,41,1.80
1970,38.9,1.77
1971,44.6,1.54
1972,63.84,1.68
1973,106.48,2.55
1974,183.77,4.67
1975,139.29,4.43
1976,133.77,4.35
1977,161.1,4.64
1978,208.1,5.42
1979,459,11.07
1980,594.9,20.98
1981,400,10.49
1982,447,7.92
1983,380,11.42
1984,308,8.14
1985,327,6.13
1986,390.9,5.46
1987,486.5,7.02
1988,410.15,6.53
1989,401,5.50
1990,386.2,4.83
1991,353.15,4.06
1992,333,3.95
1993,391.75,4.31
1994,383.25,5.29
1995,387,5.20
1996,369,5.20
1997,287.05,4.90
1998,288.7,5.54
1999,290.25,5.22
2000,272.65,4.95
2001,276.5,4.37
2002,342.75,4.60
2003,417.25,4.88
2004,435.6,6.66
2005,513,7.31
2006,635.7,11.55
2007,836.5,13.38
2008,869.75,14.99
2009,1087.5,14.67
2010,1420.25,20.19
2011,1531,35.12
2012,1664,31.15
2013,1204.5,23.81
2014,1199.25,18.80
2015,1060,15.72
2016,1145.9,17.10
2017,1291,17.08
