date,s&p500,dividend,earnings,cpi,bondInterest
1871-01,4.44,0.26,0.40,12.464,5.320
1871-02,4.50,0.26,0.40,12.845,5.323
1871-03,4.61,0.26,0.40,13.035,5.327
1871-04,4.74,0.26,0.40,12.559,5.330
1871-05,4.86,0.26,0.40,12.274,5.333
1871-06,4.82,0.26,0.40,12.083,5.337
1871-07,4.73,0.26,0.40,12.083,5.340
1871-08,4.79,0.26,0.40,11.893,5.343
1871-09,4.84,0.26,0.40,12.179,5.347
1871-10,4.59,0.26,0.40,12.369,5.350
1871-11,4.64,0.26,0.40,12.369,5.353
1871-12,4.74,0.26,0.40,12.654,5.357
1872-01,4.86,0.26,0.40,12.654,5.360
1872-02,4.88,0.27,0.41,12.654,5.378
1872-03,5.04,0.27,0.41,12.845,5.397
1872-04,5.18,0.27,0.41,13.130,5.415
1872-05,5.18,0.28,0.41,13.130,5.433
1872-06,5.13,0.28,0.42,13.035,5.452
1872-07,5.10,0.28,0.42,12.845,5.470
1872-08,5.04,0.29,0.42,12.940,5.488
1872-09,4.95,0.29,0.42,13.035,5.507
1872-10,4.97,0.29,0.43,12.749,5.525
1872-11,4.95,0.30,0.43,13.130,5.543
1872-12,5.07,0.30,0.43,12.940,5.562
1873-01,5.11,0.30,0.43,12.940,5.580
1873-02,5.15,0.31,0.44,13.225,5.571
1873-03,5.11,0.31,0.44,13.225,5.562
1873-04,5.04,0.31,0.44,13.225,5.553
1873-05,5.05,0.31,0.44,12.940,5.543
1873-06,4.98,0.32,0.45,12.559,5.534
1873-07,4.97,0.32,0.45,12.559,5.525
1873-08,4.97,0.32,0.45,12.559,5.516
1873-09,4.59,0.32,0.45,12.559,5.507
1873-10,4.19,0.33,0.46,12.274,5.498
1873-11,4.04,0.33,0.46,11.893,5.488
1873-12,4.42,0.33,0.46,12.179,5.479
1874-01,4.66,0.33,0.46,12.369,5.470
1874-02,4.80,0.33,0.46,12.369,5.437
1874-03,4.73,0.33,0.46,12.369,5.403
1874-04,4.60,0.33,0.46,12.179,5.370
1874-05,4.48,0.33,0.46,12.083,5.337
1874-06,4.46,0.33,0.46,11.798,5.303
1874-07,4.46,0.33,0.46,11.893,5.270
1874-08,4.47,0.33,0.46,11.798,5.237
1874-09,4.54,0.33,0.46,11.798,5.203
1874-10,4.53,0.33,0.46,11.608,5.170
1874-11,4.57,0.33,0.46,11.513,5.137
1874-12,4.54,0.33,0.46,11.513,5.103
1875-01,4.54,0.33,0.45,11.513,5.070
1875-02,4.53,0.33,0.44,11.513,5.030
1875-03,4.59,0.32,0.44,11.513,4.990
1875-04,4.65,0.32,0.43,11.608,4.950
1875-05,4.47,0.32,0.42,11.322,4.910
1875-06,4.38,0.32,0.41,11.132,4.870
1875-07,4.39,0.31,0.40,11.132,4.830
1875-08,4.41,0.31,0.39,11.227,4.790
1875-09,4.37,0.31,0.39,11.132,4.750
1875-10,4.30,0.31,0.38,11.132,4.710
1875-11,4.37,0.30,0.37,11.037,4.670
1875-12,4.37,0.30,0.36,10.942,4.630
1876-01,4.46,0.30,0.35,10.847,4.590
1876-02,4.52,0.30,0.35,10.847,4.578
1876-03,4.51,0.30,0.34,10.847,4.567
1876-04,4.34,0.30,0.33,10.751,4.555
1876-05,4.18,0.30,0.33,10.371,4.543
1876-06,4.15,0.30,0.32,10.085,4.532
1876-07,4.10,0.30,0.31,10.085,4.520
1876-08,3.93,0.30,0.31,10.181,4.508
1876-09,3.69,0.30,0.30,10.276,4.497
1876-10,3.67,0.30,0.29,10.466,4.485
1876-11,3.60,0.30,0.29,10.561,4.473
1876-12,3.58,0.30,0.28,10.751,4.462
1877-01,3.55,0.29,0.28,10.942,4.450
1877-02,3.34,0.28,0.28,10.656,4.441
1877-03,3.17,0.27,0.29,10.181,4.432
1877-04,2.94,0.26,0.29,10.466,4.423
1877-05,2.94,0.25,0.29,10.656,4.413
1877-06,2.73,0.25,0.29,10.085,4.404
1877-07,2.85,0.24,0.29,10.181,4.395
1877-08,3.05,0.23,0.29,9.800,4.386
1877-09,3.24,0.22,0.30,9.705,4.377
1877-10,3.31,0.21,0.30,9.705,4.368
1877-11,3.26,0.20,0.30,9.515,4.358
1877-12,3.25,0.19,0.30,9.515,4.349
1878-01,3.25,0.19,0.30,9.229,4.340
1878-02,3.18,0.19,0.30,9.134,4.330
1878-03,3.24,0.19,0.30,8.944,4.320
1878-04,3.33,0.19,0.30,8.849,4.310
1878-05,3.34,0.19,0.30,8.563,4.300
1878-06,3.41,0.19,0.31,8.373,4.290
1878-07,3.48,0.18,0.31,8.468,4.280
1878-08,3.45,0.18,0.31,8.563,4.270
1878-09,3.52,0.18,0.31,8.563,4.260
1878-10,3.48,0.18,0.31,8.468,4.250
1878-11,3.47,0.18,0.31,8.373,4.240
1878-12,3.45,0.18,0.31,8.183,4.230
1879-01,3.58,0.18,0.32,8.278,4.220
1879-02,3.71,0.18,0.32,8.373,4.203
1879-03,3.65,0.19,0.33,8.278,4.187
1879-04,3.77,0.19,0.33,8.183,4.170
1879-05,3.94,0.19,0.34,8.183,4.153
1879-06,3.96,0.19,0.35,8.087,4.137
1879-07,4.04,0.19,0.35,8.183,4.120
